rank,Word
1908,jacket
1909,hook
1910,destroyed
1911,scary
1912,loser
1913,investigation
1914,above
1915,Jamal
1916,invite
1917,shooting
1918,merry
1919,port
1920,precious
1921,lesson
1922,Roy
1923,criminal
1924,growing
1925,caused
1926,victim
1927,professor
1928,followed
1929,funeral
1930,nothing's
1931,dean
1932,considering
1933,burning
1934,couch
1935,strength
1936,harder
1937,loss
1938,view
1939,Gia
1940,beauty
1941,sisters
1942,everybody's
1943,several
1944,pushed
1945,Nicholas
1946,written
1947,somebody's
1948,shock
1949,pushing
1950,heat
1951,chocolate
1952,greatest
1953,Holden
1954,miserable
1955,Corinthos
1956,nightmare
1957,energy
1958,brings
1959,Zander
1960,character
1961,became
1962,famous
1963,enemy
1964,crash
1965,chances
1966,sending
1967,recognize
1968,healthy
1969,boring
1970,feed
1971,engaged
1972,Sarah
1973,percent
1974,headed
1975,Brandon
1976,lines
1977,treated
1978,purpose
1979,north
1980,knife
1981,rights
1982,drag
1983,San
1984,fan
1985,badly
1986,speed
1987,Santa
1988,hire
1989,curious
1990,paint
1991,pardon
1992,Jackson
1993,built
1994,behavior
1995,closet
1996,candy
1997,Helena
1998,warn
1999,gorgeous
2000,post
